InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
TU,Fish,79600,34,Pimephales vigilax,Cyprinidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River just above mouth of Coburn Creek - Fish Stat. #1.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79594,20,Notropis atherinoides,Cyprinidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River just above mouth of Coburn Creek - Fish Stat. #1.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79591,4,Carpiodes velifer,Catostomidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River just above mouth of Coburn Creek - Fish Stat. #1.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,190656,4,Carpiodes velifer,Catostomidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River just above mouth of Coburn Creek - Fish Stat. #1.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79382,3,Hybognathus nuchalis,Cyprinidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,Pearl River just below mouth of Coburn Creek - Fish Stat. #2.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79380,7,Carpiodes velifer,Catostomidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,Pearl River just below mouth of Coburn Creek - Fish Stat. #2.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79386,42,Notropis atherinoides,Cyprinidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,Pearl River just below mouth of Coburn Creek - Fish Stat. #2.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79391,45,Ictalurus punctatus,Ictaluridae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,Pearl River just below mouth of Coburn Creek - Fish Stat. #2.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79390,16,Pimephales vigilax,Cyprinidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,Pearl River just below mouth of Coburn Creek - Fish Stat. #2.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79392,14,Lepomis megalotis,Centrarchidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,Pearl River just below mouth of Coburn Creek - Fish Stat. #2.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79400,15,Ictalurus punctatus,Ictaluridae,,,30.75667,-89.82611,,,United States of America,Louisiana,Washington,,,Pearl River 0.5 mi. below Richardson Landing - Fish Stat. #3.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79399,166,Pimephales vigilax perspicuus,Cyprinidae,,,30.75667,-89.82611,,,United States of America,Louisiana,Washington,,,Pearl River 0.5 mi. below Richardson Landing - Fish Stat. #3.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79589,67,Pimephales vigilax perspicuus,Cyprinidae,,,30.74055,-89.82694,,,United States of America,Louisiana,Washington,,,Pearl River sandbar at River Mile 54.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79586,5,Notropis atherinoides,Cyprinidae,,,30.74055,-89.82694,,,United States of America,Louisiana,Washington,,,Pearl River sandbar at River Mile 54.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79585,2,Carpiodes velifer,Catostomidae,,,30.74055,-89.82694,,,United States of America,Louisiana,Washington,,,Pearl River sandbar at River Mile 54.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79522,37,Pimephales vigilax,Cyprinidae,,,30.705,-89.84611,,,United States of America,Louisiana,Washington,,,Pearl River just above Pools Bluff Sill - Fish Stat. #5.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79525,6,Lepomis megalotis megalotis,Centrarchidae,,,30.705,-89.84611,,,United States of America,Louisiana,Washington,,,Pearl River just above Pools Bluff Sill - Fish Stat. #5.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79403,6,Hybognathus nuchalis,Cyprinidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,Pearl River just below Pools Bluff Sill; 4 mi. S of Bogalusa.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79417,10,Crystallaria asprella,Percidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,Pearl River just below Pools Bluff Sill; 4 mi. S of Bogalusa.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79415,42,Lepomis megalotis megalotis,Centrarchidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,Pearl River just below Pools Bluff Sill; 4 mi. S of Bogalusa.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79411,9,Pimephales vigilax perspicuus,Cyprinidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,Pearl River just below Pools Bluff Sill; 4 mi. S of Bogalusa.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79407,0,Notropis atherinoides,Cyprinidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,Pearl River just below Pools Bluff Sill; 4 mi. S of Bogalusa.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79413,6,Noturus munitus,Ictaluridae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,Pearl River just below Pools Bluff Sill; 4 mi. S of Bogalusa.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79420,3,Percina aurora,Percidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,Pearl River just below Pools Bluff Sill; 4 mi. S of Bogalusa.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79402,2,Carpiodes velifer,Catostomidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,Pearl River just below Pools Bluff Sill; 4 mi. S of Bogalusa.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79421,29,Percina vigil,Percidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,Pearl River just below Pools Bluff Sill; 4 mi. S of Bogalusa.,,,1972,10,17,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,85331,30,Notropis atherinoides,Cyprinidae,,,30.79194,-89.82166,,,United States of America,Louisiana,Washington,,,Pearl River at LA Hwy. 10 bridge.,,,1974,1,14,G.E. Gunning & B.A. Thompson,,,PreservedSpecimen,,
TU,Fish,85325,0,Carpiodes velifer,Catostomidae,,,30.79194,-89.82166,,,United States of America,Louisiana,Washington,,,Pearl River at LA Hwy. 10 bridge.,,,1974,1,14,G.E. Gunning & B.A. Thompson,,,PreservedSpecimen,,
TU,Fish,85327,120,Hybognathus nuchalis,Cyprinidae,,,30.79194,-89.82166,,,United States of America,Louisiana,Washington,,,Pearl River at LA Hwy. 10 bridge.,,,1974,1,14,G.E. Gunning & B.A. Thompson,,,PreservedSpecimen,,
TU,Fish,85341,34,Hybognathus nuchalis,Cyprinidae,,,30.76222,-89.83111,,,United States of America,Louisiana,Washington,,,Pearl River at Richardson Landing.,,,1974,1,14,B.A. Thompson & Bresnick,,,PreservedSpecimen,,
